#Datasets	P10N Illumina	P10N Nanopore	P10N Illumina 16S	P10R Illumina	P10R Nanopore	P10V Illumina	P10V Nanopore	P10V Illumina 16S
"root"	96.0	118.0	0.0	114.0	278.0	79.0	235.0	0.0
"cellular organisms"	43.0	12.0	0.0	112.0	9.0	40.0	27.0	0.0
"Bacteria"	25.0	27.0	7.0	21.0	16.0	24.0	18.0	2.0
"FCB group"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Bacteroidetes/Chlorobi group"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Bacteroidetes"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Bacteroidia"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Bacteroidales"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Bacteroidaceae"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Bacteroides"	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
"Proteobacteria"	88.0	63.0	1.0	50.0	7.0	38.0	23.0	0.0
"Alphaproteobacteria"	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
"Betaproteobacteria"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Burkholderiales"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Burkholderiaceae"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Ralstonia"	15.0	0.0	0.0	31.0	0.0	12.0	0.0	0.0
"Gammaproteobacteria"	69.0	82.0	3822.0	51.0	49.0	32.0	52.0	3167.0
"Alteromonadales"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Alteromonadaceae"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Marinobacter"	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"Shewanellaceae"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Shewanella"	3.0	4.0	0.0	0.0	0.0	2.0	5.0	0.0
"Enterobacterales"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Enterobacteriaceae"	1561.0	1734.0	6091.0	1016.0	1034.0	1817.0	1587.0	9120.0
"Citrobacter"	8.0	9.0	7.0	12.0	21.0	21.0	9.0	0.0
"Cronobacter"	3.0	0.0	13.0	10.0	12.0	0.0	0.0	0.0
"Enterobacter"	2463.0	1181.0	32.0	12295.0	13951.0	58.0	128.0	7.0
"Escherichia"	12.0	13.0	101.0	27.0	57.0	617.0	457.0	401.0
"Klebsiella"	9367.0	11793.0	1465.0	112.0	220.0	12110.0	13315.0	1422.0
