#Datasets	P10N Illumina	P10N Nanopore	P10N Illumina 16S	P10V Illumina	P10V Nanopore	P10V Illumina 16S
root	96	118	0	79	235	0
cellular organisms	43	12	0	40	27	0
Bacteria	25	27	7	24	18	2
FCB group	0	0	0	0	0	0
Bacteroidetes/Chlorobi group	0	0	0	0	0	0
Bacteroidetes	0	0	0	0	0	0
Bacteroidia	0	0	0	0	0	0
Bacteroidales	0	0	0	0	0	0
Bacteroidaceae	0	0	0	0	0	0
Bacteroides	0	0	0	2	0	0
Proteobacteria	88	63	1	38	23	0
Alphaproteobacteria	0	0	0	0	0	0
Betaproteobacteria	0	0	0	0	0	0
Burkholderiales	0	0	0	0	0	0
Burkholderiaceae	0	0	0	0	0	0
Ralstonia	15	0	0	12	0	0
Gammaproteobacteria	69	82	3822	32	52	3167
Alteromonadales	1	0	0	0	0	0
Alteromonadaceae	0	0	0	0	0	0
Marinobacter	0	1	0	0	0	0
Shewanellaceae	0	0	0	0	0	0
Shewanella	3	4	0	2	5	0
Enterobacterales	0	0	0	0	0	0
Enterobacteriaceae	1561	1734	6091	1817	1587	9120
Citrobacter	8	9	7	21	9	0
Cronobacter	3	0	13	0	0	0
Enterobacter	2463	1181	32	58	128	7
Escherichia	12	13	101	617	457	401
Klebsiella	9367	11793	1465	12110	13315	1422
Kluyvera	1	2	0	1	2	0
Leclercia	0	0	0	0	0	0
Lelliottia	0	0	0	0	0	1
Raoultella	2	2	1	1	2	0
Salmonella	16	16	2	21	19	0
Shigella	0	0	36	0	0	0
unclassified Enterobacteriaceae	0	0	0	0	0	0
unclassified Enterobacteriaceae (miscellaneous)	3	2	0	2	2	0
Erwiniaceae	0	0	0	0	0	0
Pantoea	0	2	0	0	1	0
Hafniaceae	0	0	0	0	0	0
Hafnia	0	0	0	0	0	0
Yersiniaceae	0	0	0	0	0	0
Serratia	2	4	0	1	2	0
Yersinia	2	5	0	3	1	0
Pasteurellales	0	0	0	0	0	0
Pasteurellaceae	0	0	0	0	0	0
Haemophilus	0	0	2	0	0	4
Pseudomonadales	0	0	0	0	0	0
Pseudomonadaceae	0	0	0	0	0	0
Pseudomonas	16	33	0	0	0	0
Terrabacteria group	0	0	2	0	0	0
Actinobacteria <phylum>	0	0	0	0	0	0
Actinobacteria	0	0	0	0	0	0
Actinomycetales	1	0	0	0	0	0
Actinomycetaceae	0	0	0	0	0	0
Actinomyces	0	0	0	0	0	0
Arcanobacterium	0	0	0	0	0	0
Bifidobacteriales	0	0	0	0	0	0
