Reads	G1	G2	G3	G4	G5	G6	G7	G8	G9
500	1								
1000	1								
1500	1								1
2000	1								1
2500	1						1		2
3000	1						1		3
3500	1						2		3
4000	1						4		3
4500	1						4	1	3
5000	1						4	2	4
5500	1						4	2	5
6000	1						4	2	6
6500	1						5	2	6
7000	1				1		7	2	6
7500	1			1	1		7	2	6
8000	1			1	1		7	3	7
8500	1			1	1		7	3	8
9000	1			1	1		7	3	8
9500	1			1	1		7	3	8
10000	1			1	1		7	3	8
10500	1			1	1		7	3	8
11000	1	1	1	1	1		8	3	8
11500	1	1	1	1	1		8	4	8
12000	1	1	1	1	1		8	4	8
12500	1	1	1	1	1		8	4	8
13000	1	1	2	1	1		8	4	8
13500	1	1	2	1	1		8	4	8
14000	1	1	2	1	1		8	4	8
14500	1	1	2	1	1		8	4	8
15000	1	1	2	1	1		8	5	8
15500	1	1	2	1	1		8	5	9
16000	1	1	2	1	1		8	5	9
16500	1	1	2	1	1		8	6	9
17000	1	1	2	1	1		8	6	10
17500	1	1	2	1	1	1	8	7	10
18000	1	1	2	1	1	1	8	7	11
18500	1	1	2	1	1	1	8	8	13
19000	1	1	2	1	1	1	8	8	13
19500	1	1	2	1	1	1	8	9	13
20000	1	2	2	1	1	1	9	9	14
20500	1	2	2	1	1	1	9	10	14
21000	1	2	2	1	1	1	9	10	15
21500	1	2	2	1	1	1	9	11	16
22000	1	2	2	1	1	1	9	11	17
22500	1	2	2	1	1	1	9	12	17
23000	1	2	2	1	1	1	9	13	17
23500	1	2	2	1	1	1	9	13	17
24000	1	2	2	1	1	1	9	13	17
24500	1	2	2	1	1	2	9	14	17
25000	1	2	2	1	1	2	9	14	19
25500	1	2	2	1	1	2	9	14	20
26000	1	2	2	1	1	2	9	14	20
26500	1	2	2	1	1	2	9	14	21
27000	1	2	2	1	2	2	9	14	22
27500	1	2	2	1	2	2	11	14	23
28000	1	2	2	1	2	2	11	15	25
28500	1	2	3	1	2	2	11	15	25
29000	1	2	3	1	2	2	11	15	25
29500	1	2	3	1	2	2	11	16	25
30000	1	2	3	1	2	2	11	17	26
30500	1	2	3	1	2	2	11	17	26
31000	1	2	3	1	2	2	12	18	26
31500	1	2	3	1	2	2	12	18	27
32000	1	2	3	1	3	2	12	20	27
32500	1	2	3	1	3	2	12	20	27
33000	1	2	3	1	4	2	13	21	28
33500	1	2	3	1	4	2	13	21	28
34000	1	2	3	1	4	2	13	21	29
34500	1	2	3	1	4	2	13	22	29
35000	1	2	3	1	4	2	13	22	30
35500	1	2	3	1	4	2	13	22	31
36000	1	2	3	1	4	2	13	22	33
36500	1	2	3	1	4	3	14	23	34
37000	1	2	3	1	4	3	14	23	34
37500	1	2	3	1	4	3	14	23	36
38000	1	2	3	1	4	3	14	24	37
38500	1	2	3	1	4	3	14	24	37
39000	1	3	3	1	4	3	14	24	37
39500	1	3	3	1	4	3	14	24	37
40000	1	3	3	1	4	3	14	24	37
40500	1	3	3	1	4	3	14	25	37
41000	1	3	3	1	4	3	14	25	37
41500	1	3	3	1	4	3	14	25	38
42000	1	3	3	1	4	3	15	25	38
42500	1	3	3	1	4	3	15	25	38
43000	1	4	3	1	4	3	15	25	39
43500	1	4	3	1	4	3	15	25	40
44000	1	4	3	1	4	3	15	25	40
44500	1	4	3	1	4	3	15	25	40
45000	1	4	3	1	4	3	15	27	41
45500	1	4	3	1	4	3	15	28	41
46000	1	4	3	1	4	3	16	28	43
46500	1	4	3	1	4	3	16	28	44
47000	1	4	3	1	4	3	17	31	44
47500	1	4	3	1	4	3	17	31	44
48000	1	4	3	1	4	4	17	31	44
48500	1	4	3	1	4	4	17	33	44
49000	1	4	3	1	4	4	17	34	44
49500	1	4	3	1	4	4	17	34	44
50000	1	4	3	1	4	4	17	34	44
50500	1	4	3	1	4	4	17	34	45
51000	1	4	3	1	4	4	17	34	45
51500	1	4	3	1	4	4	17	34	46
52000	1	4	3	1	4	4	17	35	46
52500	1	4	3	1	4	4	17	35	46
53000	1	4	3	1	4	4	17	35	46
53500	1	4	3	1	4	4	17	36	47
54000	1	4	3	1	4	4	17	38	47
54500	1	4	3	1	4	4	18	39	48
55000	1	4	3	1	4	5	18	39	48
55500	1	4	3	1	4	5	18	39	49
56000	1	4	3	1	4	6	19	39	49
56500	1	4	3	1	4	6	19	39	49
57000	1	4	3	1	4	6	19	39	49
57500	1	4	3	1	4	6	19	40	50
58000	1	4	4	1	4	6	19	40	50
58500	1	4	4	1	4	6	19	40	50
59000	1	4	4	1	4	6	19	40	50
59500	1	4	5	1	4	6	20	41	51
60000	1	4	5	1	4	6	21	42	52
60500	1	4	5	1	4	6	22	42	52
61000	1	4	5	1	4	6	23	43	52
61500	1	4	5	1	4	6	24	44	52
62000	1	4	5	1	4	6	24	44	53
62500	1	4	5	1	4	6	25	44	53
63000	1	4	5	1	4	6	26	44	53
63500	1	4	5	1	4	6	26	46	53
64000	1	4	5	1	4	6	26	46	54
