Reads	G1	G2	G3	G4	G5	G6	G7
500							1
1000							2
1500							2
2000					1		2
2500					1		2
3000					1		2
3500					1		2
4000					1		2
4500					1		2
5000					1	1	2
5500					1	2	2
6000					1	3	3
6500					1	3	4
7000					1	4	4
7500					1	4	4
8000					1	4	4
8500					1	5	5
9000					1	5	6
9500					2	5	6
10000					2	5	6
10500					2	5	7
11000					2	6	7
11500					2	6	8
12000					2	7	8
12500					2	8	8
13000					2	8	8
13500					2	8	8
14000					2	8	8
14500					2	8	8
15000					2	8	8
15500					2	8	8
16000					3	8	9
16500					3	9	9
17000					3	10	10
17500					3	12	11
18000					3	12	11
18500					3	12	11
19000		1	1		3	12	12
19500		1	1		3	12	13
20000		1	1		3	12	14
20500		1	1		3	13	15
21000		1	1		3	14	15
21500		1	1		3	14	15
22000		1	1		3	15	15
22500		1	1		3	16	16
23000		1	1		4	16	16
23500		1	1		4	17	16
24000		1	1		4	18	18
24500		1	1		4	18	19
25000		1	1		4	18	19
25500		1	1		4	18	19
26000		1	1		4	19	20
26500		1	1		4	20	20
27000		1	1		4	20	20
27500		1	1		4	20	21
28000		1	1		4	20	23
28500		1	1		4	21	23
29000		1	1	1	4	21	24
29500		1	1	1	4	21	24
30000		1	1	1	4	21	24
30500		1	1	1	4	21	25
31000		1	1	1	4	21	27
31500		1	1	1	4	21	27
32000		1	1	1	4	21	28
32500		1	1	1	4	21	30
33000		1	1	1	4	21	30
33500		1	1	1	4	21	30
34000		1	1	1	4	21	30
34500		1	1	1	4	21	30
35000		1	1	1	4	22	30
35500		1	1	1	4	22	32
36000		1	1	1	4	22	32
36500		1	1	1	4	22	32
37000		1	1	1	4	22	33
37500		1	1	1	4	22	33
38000		1	1	1	4	23	33
38500		1	1	1	4	23	34
39000		1	1	1	4	24	34
39500		1	1	1	4	24	35
40000		1	1	1	4	24	35
40500		1	1	1	4	24	35
41000		1	1	1	4	26	36
41500		1	1	1	4	26	38
42000		1	1	1	4	26	38
42500		1	1	1	4	26	38
43000		1	1	1	4	26	39
43500		1	1	1	4	28	39
44000		1	1	1	4	28	39
44500		1	1	1	4	28	39
45000		1	1	1	5	29	39
45500		1	1	1	5	29	40
46000		1	1	1	5	29	40
46500		1	1	1	5	29	40
47000		1	1	1	5	29	40
47500		1	1	1	5	30	40
48000		1	1	1	5	30	40
48500		1	1	1	5	30	42
49000		1	1	1	5	32	45
49500		1	1	1	5	32	45
50000		1	1	1	5	32	45
50500		1	1	1	5	32	46
51000		1	1	1	5	33	46
51500		1	1	1	5	33	46
52000		1	1	1	5	33	46
52500		1	1	1	5	33	46
53000		1	1	1	5	33	47
53500		1	1	1	5	33	47
54000		1	1	1	5	33	47
54500		1	1	1	5	34	47
55000		1	1	1	5	36	48
55500		1	1	1	5	36	48
56000		1	1	1	5	36	48
56500		1	1	1	5	36	48
57000		1	1	1	5	36	48
57500		1	2	1	5	37	49
58000		1	2	1	5	37	49
58500		1	2	1	6	37	52
59000		1	2	1	6	37	52
59500		1	2	1	6	38	52
60000		1	2	1	6	38	52
60500		1	2	1	6	39	53
61000		1	2	1	6	40	53
61500		1	2	1	6	40	54
62000		1	2	1	6	42	55
62500		1	2	1	6	42	55
63000		1	2	1	6	42	55
63500		1	2	1	6	43	56
64000		1	2	1	6	44	57
64500		1	2	1	6	44	57
65000		1	2	1	6	44	57
65500		1	2	1	6	44	57
66000		1	2	1	6	45	58
66500		1	2	1	6	45	58
67000		1	2	1	6	46	58
67500		1	2	1	6	46	58
68000		1	2	1	6	47	58
68500		1	2	1	7	47	59
69000		1	2	1	7	48	59
69500		1	2	1	7	48	60
70000		1	2	1	7	48	60
70500		1	2	1	8	48	60
71000		1	2	1	8	49	60
71500		1	2	1	8	49	60
72000		1	2	1	9	49	60
72500		1	2	1	9	50	60
73000		1	2	1	9	51	61
73500		1	2	1	9	51	61
74000		1	2	1	10	51	62
74500		1	2	1	10	51	62
75000		1	2	1	10	51	62
75500		1	2	1	10	51	62
76000		1	2	1	10	51	63
76500		1	2	1	10	53	63
77000		1	2	1	10	53	63
77500		1	2	1	10	53	63
78000		1	2	1	10	53	64
78500		1	2	1	10	53	64
79000		1	2	1	10	53	64
79500		1	2	1	10	53	64
80000		1	2	1	10	53	64
80500		1	2	1	10	53	64
81000		1	2	1	10	54	64
81500		1	2	1	10	54	65
82000		1	2	1	10	54	65
82500		1	2	1	10	55	66
83000		1	2	1	10	55	66
83500		1	2	1	10	56	66
84000		1	2	1	10	56	66
84500		1	2	1	10	56	66
85000		1	2	2	10	57	66
85500		1	2	2	10	57	66
86000		1	2	2	10	57	66
86500		1	2	2	10	57	66
87000		1	2	2	11	57	66
87500		1	2	2	11	57	66
88000		1	2	2	11	58	66
88500		1	2	2	11	59	66
89000		1	2	2	11	59	66
89500		1	2	2	11	59	67
90000		1	2	2	11	59	67
90500		1	2	2	11	59	67
91000		1	2	2	11	59	67
91500		1	2	2	11	59	67
92000		1	2	2	11	59	67
92500		1	2	2	11	60	67
93000		1	2	2	11	60	69
93500		1	2	2	11	60	70
94000		1	2	2	11	60	70
94500		1	2	2	11	60	70
95000		1	2	2	11	60	71
95500		1	2	2	11	60	72
96000		1	2	2	11	60	73
96500		1	2	2	11	61	73
97000		1	2	2	11	62	73
97500		1	2	2	11	62	73
98000		1	2	2	11	64	73
98500		1	2	2	11	64	73
99000	1	1	2	2	11	64	74
99500	1	1	2	2	11	64	75
100000	1	1	2	2	11	64	75
