Reads	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12
500												1
1000									1			2
1500									2			3
2000									2			3
2500									2			4
3000									2			6
3500									2			6
4000									2			6
4500									2			9
5000									2	1		10
5500									2	1		11
6000								1	2	1		12
6500								1	2	1	1	14
7000								1	2	1	1	14
7500								1	3	1	1	15
8000								1	3	1	1	16
8500								1	3	1	1	17
9000								1	3	1	1	19
9500					1			1	3	1	1	19
10000					1			1	3	1	2	19
10500					1			1	4	1	2	19
11000					1			1	4	1	2	20
11500					1			1	4	1	2	20
12000					1			1	4	2	2	23
12500					1			1	4	2	2	24
13000					1		1	1	4	2	2	24
13500					1		1	1	4	2	2	24
14000					1		1	1	4	2	2	25
14500					1		1	1	5	4	3	27
15000					1		2	1	5	4	4	27
15500					1		2	1	5	4	4	28
16000					1		2	1	5	4	4	30
16500					1		2	1	5	4	4	31
17000					1		2	1	5	4	4	31
17500					1		2	1	5	4	4	32
18000					1		3	1	6	4	4	32
18500					1		3	1	6	4	4	32
19000					1		3	1	6	4	4	34
19500					1		3	1	6	5	4	35
20000				1	1		3	1	6	5	4	35
20500				1	1		4	1	6	5	4	35
21000				1	2		4	1	6	5	4	35
21500				1	2		4	1	6	6	4	36
22000				1	2		4	1	6	6	4	36
22500				1	2		4	1	6	6	4	37
23000				1	2		4	1	6	6	4	37
23500				1	2		5	1	6	6	4	38
24000				1	2		5	1	6	6	4	38
24500				1	2		5	1	6	6	5	40
25000				1	2		5	1	6	6	5	40
25500				1	2		5	1	6	6	5	41
26000				1	2		5	1	6	7	5	41
26500				1	2		5	1	6	7	5	42
27000				1	2		5	1	6	7	5	43
27500				1	2		5	1	6	7	5	43
28000				1	2		5	1	6	7	5	43
28500				1	2		5	1	6	7	5	43
29000				1	2		5	1	6	7	5	44
29500				1	2		6	1	6	7	5	45
30000				1	2		6	1	6	7	5	45
30500				1	2		6	2	6	7	5	46
31000				1	2		6	2	6	7	5	46
31500				1	2		6	2	6	7	5	46
32000				1	2		6	2	6	7	5	47
32500				1	2		6	2	6	7	5	47
33000				1	2		6	2	6	7	5	48
33500				1	2		6	2	6	7	5	48
34000				1	2		7	2	6	7	5	48
34500				1	2		7	2	6	7	5	48
35000				1	2		7	2	6	7	5	48
35500				1	2		7	2	6	7	5	48
36000				1	2		7	2	6	7	5	49
36500				1	2		7	2	6	7	6	50
37000				1	2		7	2	6	7	6	51
37500				1	2		7	2	6	7	6	52
38000				1	2		7	2	6	7	6	53
38500				1	2		7	2	7	7	6	56
39000				1	2		7	2	7	7	6	57
39500				1	2		7	2	7	8	7	59
40000				1	3		7	2	7	8	7	59
40500				1	3		7	2	7	8	7	60
41000				1	3		7	2	7	9	7	61
41500				1	3		7	3	7	10	7	62
42000				1	3		7	3	7	10	7	62
42500				1	3		7	3	7	10	8	64
43000				1	3		7	3	7	11	8	66
43500				1	3		7	3	7	11	8	66
44000				1	3		7	3	8	12	8	67
44500				1	3		7	3	8	12	8	67
45000				1	3		7	3	8	12	8	67
45500				1	3		7	3	8	13	8	69
46000				1	3		7	3	8	13	9	69
46500				1	3		7	3	8	13	9	69
47000				1	3		7	3	8	13	10	69
47500				1	3		7	3	9	13	11	71
48000				1	3		8	3	9	14	11	71
48500				1	3		8	3	9	14	12	73
49000				1	3		9	3	9	14	12	76
49500				1	3		10	3	9	14	12	77
50000				1	3		10	4	9	14	12	77
50500				1	3		10	4	9	14	12	77
51000				1	3		10	4	10	14	13	78
51500				1	3		10	4	10	14	13	79
52000				1	3		10	4	10	14	13	79
52500				1	3		10	5	10	14	13	80
53000				1	4		10	5	10	14	13	80
53500				1	4		10	5	10	14	13	80
54000				1	4		10	5	10	14	13	80
54500				1	4		10	5	10	14	13	80
55000				1	4		10	5	10	14	13	81
55500				1	4		10	6	10	14	13	81
56000				1	4		10	7	11	14	13	82
56500				1	4		10	7	11	14	14	83
57000				1	4		10	7	11	15	14	83
57500				1	4		11	7	11	15	14	85
58000				1	4		11	7	11	15	14	85
58500				1	4		11	7	11	15	14	85
59000				1	4		11	8	11	15	14	85
59500				1	4		11	8	11	15	14	85
60000				1	4		11	8	12	15	15	86
60500				1	4		11	8	12	15	15	88
61000				1	4		11	8	12	15	15	90
61500				1	4		11	8	12	15	15	91
62000				1	4		11	9	12	15	15	91
62500				2	4		11	9	12	15	15	91
63000				2	4		11	9	12	15	15	92
63500				2	4		11	9	12	16	15	93
64000				2	4		11	10	12	16	15	94
64500				2	4		11	10	12	16	15	94
65000				2	4		11	10	12	16	16	96
65500				2	4		11	10	12	16	16	97
66000				2	4		11	10	12	16	16	97
66500				2	4		11	10	12	16	16	97
67000				2	4		11	10	12	16	16	97
67500				2	4		11	10	12	16	16	98
68000				2	4		11	10	12	16	16	99
68500				2	4		11	10	12	16	17	100
69000				2	4		11	10	12	17	17	100
69500				2	4		11	10	12	17	17	102
70000				2	4	1	11	10	12	18	17	102
70500				2	4	1	12	10	12	19	17	105
71000				2	4	1	12	10	13	19	17	105
71500				2	4	1	12	10	13	19	17	105
72000				2	4	1	12	10	13	19	18	105
72500				2	4	1	12	10	13	20	18	105
73000				2	4	1	12	10	13	20	18	106
73500				2	4	1	12	10	13	20	18	107
74000				2	4	1	12	10	13	20	18	109
74500				2	4	1	12	10	13	20	18	109
75000				2	4	1	12	10	13	20	18	109
75500				2	4	1	12	10	13	20	18	111
76000				2	4	1	12	10	13	20	18	112
76500				2	4	1	12	10	13	21	18	112
77000				2	4	1	12	10	13	21	18	112
77500				2	4	1	12	10	14	21	18	113
78000				2	4	1	12	10	14	21	18	114
78500				2	4	1	12	10	14	21	19	114
79000				2	4	1	12	10	14	21	19	114
79500				2	4	1	12	10	14	21	19	114
80000				2	4	1	12	10	14	21	20	114
80500				2	4	1	12	10	14	21	20	118
81000				2	4	1	13	11	14	21	20	118
81500				2	4	1	13	11	14	21	20	118
82000				2	4	1	13	11	14	21	20	119
82500				2	4	1	13	11	14	21	20	119
83000				2	4	2	13	11	14	21	21	120
83500				2	4	2	13	12	14	21	21	121
84000				2	4	2	13	12	14	22	21	122
84500				2	4	2	13	13	14	22	22	122
85000				2	4	2	13	13	14	22	22	123
85500				2	4	2	13	13	15	22	22	124
86000				2	4	2	13	13	15	22	22	126
86500				2	4	2	13	13	15	22	22	126
87000				2	4	2	13	13	15	22	23	127
87500				2	4	2	13	13	15	22	23	130
88000				2	4	2	13	13	15	22	23	130
88500				2	4	2	13	13	15	22	23	130
89000				2	4	2	13	13	16	22	25	130
89500				2	4	2	13	13	16	22	25	131
90000				2	4	2	13	13	16	22	25	133
90500				2	4	2	13	13	17	22	26	133
91000				2	4	2	13	13	18	22	26	133
91500				2	4	2	13	13	19	22	26	133
92000				2	4	2	13	13	20	22	26	134
92500				2	4	2	13	13	20	22	27	134
93000				2	4	2	13	13	20	23	27	136
93500				2	4	2	13	13	20	23	27	138
94000				2	4	2	13	13	20	23	28	140
94500				2	4	2	13	13	20	23	29	141
95000				2	4	2	13	13	20	23	29	141
95500				2	4	2	13	13	20	23	29	142
96000				2	4	2	13	13	21	23	29	142
96500				2	4	2	13	13	21	23	29	142
97000				2	4	2	13	13	21	23	29	142
97500				2	4	2	13	13	21	23	29	145
98000				2	4	2	13	13	21	24	29	145
98500				2	4	2	13	13	21	24	29	147
99000				2	4	2	14	13	21	24	29	148
99500				2	4	2	14	13	21	24	29	150
100000				2	4	2	14	13	21	25	29	151
100500				2	4	2	14	13	21	25	31	151
101000				2	4	2	14	13	21	25	31	152
101500				2	4	2	14	13	21	25	31	154
102000				2	4	2	14	13	21	25	31	154
102500				2	4	2	14	13	21	25	32	154
103000				2	4	2	14	13	21	25	32	154
103500				2	4	2	14	13	21	25	32	155
104000				2	4	2	14	13	21	25	32	155
104500				2	4	2	14	13	22	25	32	156
105000				2	4	3	14	13	22	25	32	157
105500				2	4	3	14	13	22	25	32	157
106000				2	4	3	14	13	22	25	32	158
106500				2	4	3	14	13	22	25	32	158
107000				2	4	3	14	14	22	27	32	159
107500				2	4	3	14	14	22	27	32	160
108000				2	4	3	14	14	23	27	32	162
108500				2	4	3	14	14	23	27	33	162
