Reads	G1	G2	G3	G4	G5
500					
1000					
1500				1	
2000				1	
2500		1	1	1	1
3000		1	1	1	2
3500		1	1	1	2
4000		1	1	1	2
4500		1	1	2	3
5000		1	1	2	3
5500		1	1	2	3
6000		1	1	2	3
6500		1	1	2	4
7000		1	1	2	4
7500		1	1	3	4
8000		1	1	3	4
8500		1	1	3	4
9000		1	1	3	4
9500		1	1	3	4
10000		1	1	3	5
10500		1	1	3	5
11000		1	1	3	6
11500		1	1	3	7
12000		1	1	3	7
12500		1	1	3	7
13000		1	1	3	7
13500		1	1	3	7
14000		1	1	3	7
14500		1	2	3	7
15000		1	2	3	8
15500		1	2	3	8
16000		1	2	3	8
16500		1	2	3	9
17000		1	2	3	9
17500		1	2	3	9
18000		1	2	3	9
18500		1	2	4	9
19000		1	2	4	9
19500		1	2	4	9
20000		1	2	4	9
20500		1	2	4	9
21000		1	2	4	9
21500		1	2	4	9
22000		1	2	4	9
22500		1	2	4	10
23000		1	2	4	10
23500		1	2	4	10
24000		1	2	4	10
24500		1	2	4	10
25000		1	2	4	10
25500		1	2	4	10
26000		1	2	4	10
26500		1	2	4	10
27000		1	2	4	10
27500		1	2	4	10
28000		1	2	5	10
28500		1	2	5	10
29000		1	2	5	10
29500		1	2	5	10
30000		1	2	5	10
30500		1	2	5	10
31000		1	2	5	10
31500		1	2	5	10
32000		1	2	5	10
32500		1	2	5	10
33000		1	2	5	10
33500		1	2	5	10
34000		1	2	5	10
34500		1	2	5	10
35000		1	2	5	10
35500		1	2	5	10
36000		1	2	5	10
36500		1	2	5	10
37000		1	2	6	10
37500		1	2	6	10
38000		1	2	6	10
38500		1	2	6	10
39000		1	2	6	10
39500		1	2	6	10
40000		1	2	6	10
40500		1	2	6	10
41000		1	2	6	10
41500		1	2	6	10
42000		1	2	6	10
42500		1	2	6	10
43000		1	2	6	12
43500		1	2	6	12
44000		1	2	6	12
44500		1	2	6	12
45000		1	2	6	12
45500		1	2	6	12
46000		1	2	6	12
46500		1	2	6	12
47000		1	2	6	12
47500		1	2	7	12
48000		1	2	7	12
