Reads	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
500											1	1	2	2	1
1000								1			1	1	3	3	4
1500								1			1	2	4	3	9
2000								1			1	4	4	3	11
2500								1			1	4	4	4	14
3000								2			1	6	4	5	17
3500							1	2			1	6	5	5	21
4000							1	2	1		1	7	6	5	25
4500							1	2	1		1	7	6	5	28
5000							2	2	1		1	7	7	6	31
5500							2	2	1		1	9	7	8	34
6000							2	3	1		1	9	7	8	37
6500							2	3	1		1	9	7	9	38
7000							2	4	1		1	9	7	9	42
7500							2	4	1		1	11	7	9	45
8000							2	4	1		2	12	8	9	49
8500							2	4	1		2	13	8	10	53
9000				1			3	4	2		2	13	9	10	54
9500				1			3	4	2		2	13	9	10	56
10000				1			3	4	2		2	14	9	12	58
10500				1			3	6	2		5	14	9	12	58
11000				1			3	6	2		6	14	9	12	59
11500				1			3	7	2		8	15	9	13	62
12000				1			3	7	3		8	15	9	13	63
12500				1			3	7	3	1	8	15	11	13	65
13000				1	1		3	7	3	1	9	15	12	14	67
13500				1	1		3	7	3	1	10	15	12	15	68
14000				1	1		3	7	3	1	10	15	12	15	73
14500				1	1		3	8	3	1	11	15	14	16	74
15000				1	1		3	8	4	1	12	16	16	16	78
15500				1	1		3	8	4	1	12	16	17	18	81
16000			1	1	1		3	8	4	1	13	16	18	21	83
16500			1	1	1		3	8	4	1	13	16	19	22	87
17000			1	1	1		3	8	4	1	13	16	20	23	91
17500			1	1	1		3	8	4	1	13	16	20	26	91
18000			1	1	1		3	8	4	1	13	16	21	27	95
18500			1	1	1		3	8	4	1	13	16	22	27	101
19000			1	2	1		3	8	5	1	13	16	22	27	105
19500			1	2	1		3	8	5	2	13	16	22	28	110
20000			1	2	1		3	8	6	2	13	16	23	28	112
20500			1	2	1		3	9	6	2	14	16	23	30	115
21000			1	2	1		3	9	6	2	15	16	24	30	119
21500			1	2	1		3	10	6	2	15	16	28	31	122
22000			1	2	1		4	10	6	2	16	17	29	31	127
22500			1	2	1		4	10	6	2	16	17	29	32	128
23000			1	2	1		4	10	6	2	16	17	29	34	131
23500			1	2	1		4	10	6	2	17	17	29	35	133
24000			1	2	1		4	10	6	2	17	17	30	35	138
24500			1	2	1		4	10	6	2	17	17	30	36	138
25000			1	2	1		4	10	6	2	17	17	31	37	141
25500			1	2	1		4	10	6	2	17	17	32	40	142
26000			1	2	1		4	10	6	2	19	18	32	42	143
26500			1	2	1		4	10	6	2	19	18	32	42	146
27000			1	2	1		4	11	6	2	20	18	32	43	152
27500			1	2	1		4	11	6	2	20	18	33	44	157
28000			1	2	1	1	4	11	6	2	20	18	33	44	160
28500			1	2	1	2	4	11	6	2	20	19	33	44	163
29000			1	2	1	2	4	11	7	2	20	20	33	45	165
29500			1	2	1	2	4	11	7	2	21	21	33	46	170
30000			1	2	1	3	4	12	8	2	22	21	35	48	175
30500			1	2	1	3	4	12	8	2	22	21	36	49	177
31000			1	2	1	3	4	12	8	2	22	22	37	50	180
