Reads	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13
500													
1000				1						1			
1500				1						1			
2000				1						1			
2500				1						1			
3000				1				1		1			
3500				1				1		1			
4000				1				1		1			
4500				1				1		1			
5000				2				1		2			
5500				2				2		2			
6000				2				2		2			
6500				2				2		2			
7000				2				2		2			
7500				2				2		2			
8000				2				2		2			
8500				2				2		2			
9000				2				2		2			
9500				2				3		2			
10000		1		2				3		2			
10500		1		2				3		2			
11000		1		2				4		2			
11500		1		2				4		2			
12000		1		2				5		2			
12500		1		2				5		3		1	
13000		1		2				6		3		1	
13500		1		2				6		3		1	
14000		1		2				6		3		1	
14500		1		2				7		4		2	
15000		1		2				7		4		2	
15500		1		2				7		4		2	
16000		1		2				7		5		2	
16500		1		2				7		5		2	
17000		1		2				7		5		2	
17500		1		2				7		5		2	
18000		1		2				7		5		2	
18500		1		2				7		5		2	
19000		1		2				7		6		2	
19500		1		2				7		6		2	
20000		1		2				8		7		2	
20500		1		2				8		8		2	
21000		1	1	2				9		9		2	
21500		1	1	2				9		10		2	
22000		1	1	2				9		10		2	
22500		1	1	2				9		10		2	
23000		1	1	2				10		10		2	
23500		1	1	2				10		10		2	
24000		1	1	2				10		10		2	
24500		1	1	2				10		10		2	
25000		1	1	2				10		10		2	
25500		1	2	2				10		10		2	
26000	1	1	2	2				10		10		2	
26500	1	1	2	2				10		11		2	
27000	1	1	2	2				10		11		2	
27500	1	1	2	2				10		11		2	
28000	1	1	2	2				10		11		2	
28500	1	1	2	2				10		12		2	
29000	1	1	2	2				10		12		2	
29500	1	1	2	3			1	10		12		2	
30000	1	1	2	3			1	10		12		2	
30500	1	1	2	3			1	10		12		2	
31000	1	1	2	3			1	11		14		2	
31500	1	1	2	3			1	11		14		2	
32000	1	1	2	3			1	11		14		2	
32500	1	1	2	3			1	11		14		2	
33000	1	1	2	3			1	11		14		2	
33500	1	1	2	3			1	11		14		2	
34000	1	1	2	3			1	11		15		2	
34500	1	1	2	3			1	11		15		2	
35000	1	1	2	3			1	11		15		2	
35500	1	1	2	3			1	11		15		2	
36000	1	1	2	3			1	11		16		2	
36500	1	1	2	3			1	11		18		2	
37000	1	1	2	3			1	12		18		2	
37500	1	1	2	3			1	12		18		2	
38000	1	1	2	3			1	13		18		2	
38500	1	1	2	3			1	14		18		2	
39000	1	1	2	3			1	14		18		2	
39500	1	1	2	3			1	14		18		2	
40000	1	1	2	3			1	14		18		2	
40500	1	1	2	3			1	14		18		2	
41000	1	1	2	3			1	14		18		2	
41500	1	1	2	3			1	14		18		2	
42000	1	1	2	3			1	15		18		2	
42500	1	1	2	3			1	15		18		2	
43000	1	1	2	3			1	15		18		2	
43500	1	1	2	3			1	15		18		2	
44000	1	1	2	3			1	15		18		2	
44500	1	1	2	3			1	16		18		2	
45000	1	1	2	3	1		1	16		19		2	
45500	1	1	2	3	1		1	16		19		2	
46000	1	1	2	3	1		1	17		19		2	
46500	1	1	2	3	1		1	17		19		2	
47000	1	1	2	3	1		1	17		19		2	
47500	1	1	2	3	1		1	17		19		2	
48000	1	1	2	3	1		1	17		19		2	
48500	1	1	2	3	1		1	17		21		2	
49000	1	1	2	3	1		1	17		21		2	
49500	1	1	2	3	1		1	18		21		2	
50000	1	1	2	3	1		1	18		21		2	
50500	1	2	2	3	1		1	18		21		2	
51000	1	2	2	3	1		1	18		21		2	
51500	1	2	2	3	1		1	18		21		2	
52000	1	2	2	3	1		1	18		22		2	
52500	1	2	2	3	1		1	18		24		2	
53000	1	2	2	3	1		1	18		24		2	
53500	1	2	2	3	1		1	18		24		2	
54000	1	2	2	3	1		1	18		24		2	
54500	1	2	2	3	1		2	18		24		2	
55000	1	2	2	3	1		2	19		24		2	
55500	1	2	2	3	1		2	19		24		2	
56000	1	2	2	3	1		2	20		24		2	
56500	1	2	2	3	1		2	20		24		2	
57000	1	2	2	3	1		2	20		24		2	
57500	1	2	2	3	1		2	20		24		2	
