Hours	Reads
0.67	500
0.67	1000
0.67	1500
0.67	2000
0.67	2500
0.67	3000
0.67	3500
0.67	4000
0.67	4500
0.67	5000
0.68	5500
0.68	6000
0.68	6500
0.68	7000
0.68	7500
0.68	8000
0.68	8500
0.68	9000
0.68	9500
0.70	10000
0.70	10500
0.70	11000
0.70	11500
0.70	12000
0.70	12500
0.73	13000
0.75	13500
0.78	14000
0.80	14500
0.83	15000
0.87	15500
0.90	16000
0.92	16500
0.93	17000
0.97	17500
0.98	18000
1.02	18500
1.03	19000
1.07	19500
1.08	20000
1.12	20500
1.13	21000
1.17	21500
1.20	22000
1.22	22500
1.25	23000
1.28	23500
1.30	24000
1.33	24500
1.37	25000
1.38	25500
1.42	26000
1.45	26500
1.47	27000
1.48	27500
1.52	28000
1.55	28500
1.57	29000
1.60	29500
1.63	30000
1.65	30500
1.68	31000
1.72	31500
1.73	32000
1.77	32500
1.80	33000
1.83	33500
1.85	34000
1.90	34500
1.92	35000
1.95	35500
1.98	36000
2.02	36500
2.05	37000
2.12	37500
2.12	38000
2.15	38500
2.17	39000
2.20	39500
2.23	40000
2.25	40500
2.32	41000
2.32	41500
2.35	42000
2.37	42500
2.38	43000
2.42	43500
2.43	44000
2.47	44500
2.50	45000
2.53	45500
2.55	46000
2.57	46500
2.60	47000
2.63	47500
2.65	48000
2.70	48500
2.72	49000
2.75	49500
2.77	50000
2.82	50500
2.83	51000
2.87	51500
2.90	52000
2.95	52500
2.97	53000
3.00	53500
3.03	54000
3.05	54500
3.10	55000
3.13	55500
3.15	56000
3.18	56500
3.22	57000
3.25	57500
3.28	58000
3.33	58500
3.35	59000
3.40	59500
3.43	60000
3.47	60500
3.50	61000
3.53	61500
3.57	62000
3.60	62500
3.63	63000
3.67	63500
3.70	64000
3.77	64500
3.78	65000
3.83	65500
3.87	66000
3.92	66500
3.95	67000
4.00	67500
4.05	68000
4.08	68500
4.13	69000
4.17	69500
4.20	70000
4.23	70500
4.27	71000
4.30	71500
4.33	72000
4.37	72500
4.40	73000
4.43	73500
4.47	74000
4.50	74500
4.55	75000
4.58	75500
4.60	76000
4.63	76500
4.67	77000
4.72	77500
4.75	78000
4.78	78500
4.83	79000
4.87	79500
4.90	80000
4.93	80500
4.98	81000
5.03	81500
5.07	82000
5.10	82500
5.15	83000
5.18	83500
5.22	84000
5.30	84500
5.37	85000
5.43	85500
5.47	86000
5.50	86500
5.55	87000
5.57	87500
5.65	88000
5.67	88500
5.75	89000
5.78	89500
5.85	90000
5.88	90500
5.93	91000
6.00	91500
6.07	92000
6.13	92500
6.18	93000
6.25	93500
6.28	94000
6.32	94500
6.37	95000
6.42	95500
6.45	96000
6.50	96500
6.55	97000
6.60	97500
6.67	98000
6.72	98500
6.77	99000
6.82	99500
6.87	100000
6.93	100500
7.05	101000
7.08	101500
7.10	102000
7.18	102500
7.27	103000
7.35	103500
7.43	104000
7.48	104500
7.58	105000
7.67	105500
7.78	106000
7.87	106500
8.13	107000
8.15	107500
8.42	108000
8.42	108500
8.62	109000
8.62	109500
8.63	110000
8.65	110500
8.67	111000
8.67	111500
8.68	112000
8.70	112500
8.73	113000
8.75	113500
8.78	114000
10.22	114500
10.27	115000
10.32	115500
10.38	116000
10.43	116500
10.48	117000
10.53	117500
10.58	118000
10.60	118500
10.65	119000
10.68	119500
10.73	120000
10.78	120500
10.82	121000
10.87	121500
11.02	122000
11.08	122500
11.12	123000
11.87	123500
11.87	124000
11.88	124500
11.88	125000
11.88	125500
11.90	126000
11.90	126500
11.90	127000
11.92	127500
11.92	128000
11.92	128500
11.93	129000
11.93	129500
11.93	130000
11.93	130500
11.95	131000
11.95	131500
11.95	132000
11.95	132500
11.97	133000
11.97	133500
11.97	134000
11.98	134500
11.98	135000
12.00	135500
12.00	136000
12.00	136500
12.00	137000
12.02	137500
12.02	138000
12.02	138500
12.03	139000
12.03	139500
12.03	140000
12.03	140500
12.03	141000
12.05	141500
12.05	142000
12.05	142500
12.07	143000
12.07	143500
12.07	144000
12.07	144500
12.08	145000
12.08	145500
12.08	146000
12.10	146500
12.10	147000
12.10	147500
12.10	148000
12.12	148500
12.12	149000
12.12	149500
12.13	150000
12.13	150500
12.13	151000
12.13	151500
12.15	152000
12.15	152500
12.15	153000
12.15	153500
12.17	154000
12.17	154500
12.17	155000
12.18	155500
12.18	156000
12.18	156500
12.20	157000
12.20	157500
12.20	158000
12.22	158500
12.22	159000
12.22	159500
12.22	160000
12.23	160500
12.23	161000
12.23	161500
12.25	162000
12.25	162500
12.27	163000
12.27	163500
12.27	164000
12.63	164500
12.63	165000
12.65	165500
12.65	166000
12.65	166500
12.65	167000
12.67	167500
12.67	168000
12.67	168500
12.67	169000
12.68	169500
12.68	170000
12.68	170500
12.70	171000
12.70	171500
13.08	172000
13.08	172500
13.08	173000
13.10	173500
13.10	174000
13.10	174500
13.12	175000
13.12	175500
13.12	176000
13.48	176500
13.50	177000
13.50	177500
13.50	178000
13.50	178500
13.52	179000
13.52	179500
13.92	180000
13.92	180500
13.92	181000
13.92	181500
14.32	182000
