ReadId	HostTopHit	HostLCAHit	CARDHit	CARDGroup	PercentID	Length	Distance
2522d729-aad8-4cbc-b289-b550781df890	Bifidobacterium breve	Bifidobacterium breve	ARO:3003730|Bifidobacterium ileS	ileS	79.9	383	63
ba745347-46b3-49a1-bf5b-5b930300780b	Enterococcus faecalis	Enterococcus	ARO:3003551|emeA	group bmr-eme-1	86.61	112	377
40b82906-f1ac-4c10-b8bf-37579c2f175a	Campylobacter coli	Bacteria	ARO:3000190|tetO	group tet-6	87.58	459	53
077cb488-1287-40de-a69f-7e9cf92ef49d	Bifidobacterium breve	Bifidobacterium breve	ARO:3003730|Bifidobacterium ileS	ileS	82.69	335	55
dfd311d2-d5ec-4fd9-b68e-ff44e844bf18	Campylobacter coli	Bacteria	ARO:3000190|tetO	group tet-6	84.55	369	259
119236da-7529-4f08-9516-914288b763fa	Bifidobacterium breve	Bifidobacterium breve	ARO:3003730|Bifidobacterium ileS	ileS	85.1	839	500
b3fb9bc3-6d96-4a3e-933d-60b0b1d1ca2e	Enterococcus faecalis	Enterococcus faecalis	ARO:3003551|emeA	group bmr-eme-1	80.42	337	113
364559a9-7403-4a43-9c8c-3e5a31b30e95	Campylobacter jejuni	Bacteria	ARO:3000190|tetO	group tet-6	89.82	452	117
fca72ba2-817f-4ca3-8a71-a1a0c16b1a12	Bifidobacterium bifidum	Bifidobacterium bifidum	ARO:3003551|emeA	group bmr-eme-1	93.25	252	318
02e199f6-02a6-42cd-ab57-2ffde1af3413	Streptococcus suis	Bacteria	ARO:3000190|tetO	group tet-6	90.36	197	406
e6a0bf51-85f5-4490-85e6-01254e237ff3	Streptococcus suis	Bacteria	ARO:3000190|tetO	group tet-6	88.35	103	575
061ff935-04cd-4016-a9e1-75e37807563f	Bifidobacterium breve	Bifidobacterium breve	ARO:3003730|Bifidobacterium ileS	ileS	85.59	347	82
e15b0a71-bd05-41aa-b10b-b07033330f3a	Campylobacter coli	Bacteria	ARO:3000190|tetO	group tet-6	89.37	395	314
d1fbca5c-a8ee-4e38-b896-c4097f38903e	Enterococcus faecium	Enterococcus faecium	ARO:3002556|AAC(6')-Ii	group AAC-10	94.44	126	500
fed18c77-73e8-459b-8b43-b4e5003e34c3	Bifidobacterium bifidum	Bifidobacterium bifidum	ARO:3003730|Bifidobacterium ileS	ileS	83.07	313	374
47aa7424-f833-49ef-96ff-f4ac5bfb9fff	Enterococcus faecalis	Enterococcus	ARO:3002875|dfrE	dfrE	89.31	393	52
4ebda9f3-e591-48ee-9218-a0b710968d80	Bifidobacterium bifidum	Bifidobacterium bifidum	ARO:3003730|Bifidobacterium ileS	ileS	93.02	387	341
053f8e68-55af-4def-b110-9fda89227f59	Peptoclostridium difficile	Firmicutes	ARO:3000186|tetM	group tet-6	85.71	329	267
5fcd3105-e33c-46b1-a891-0b755884eb0a	Bifidobacterium bifidum	Bifidobacterium bifidum	ARO:3003730|Bifidobacterium ileS	ileS	87.9	248	270
c3f3191a-4e1b-4f74-934e-a041bcb34d03	Bifidobacterium breve	Bifidobacterium breve	ARO:3003730|Bifidobacterium ileS	ileS	83.96	293	157
c54e7980-06e3-465a-88a0-9a3c2889ee0d	Bifidobacterium bifidum	Bifidobacterium bifidum	ARO:3003730|Bifidobacterium ileS	ileS	90.89	867	171
c54e7980-06e3-465a-88a0-9a3c2889ee0d	Bifidobacterium bifidum	Bifidobacterium bifidum	ARO:3003730|Bifidobacterium ileS	ileS	89.14	175	847
33499b16-3583-4c28-a73d-fd27ea0f2a58	Bifidobacterium breve	Bifidobacterium breve	ARO:3003730|Bifidobacterium ileS	ileS	80.54	221	153
aef6d60a-54d8-44d0-bd7b-db39d112599f	Bifidobacterium bifidum	Bifidobacterium breve	ARO:3003730|Bifidobacterium ileS	ileS	83.03	495	246
29f5ec5e-93d6-4986-a0a5-299d2fd0fe2b	Bifidobacterium breve	Bifidobacterium breve	ARO:3003730|Bifidobacterium ileS	ileS	80.53	714	70
86ec9743-aeeb-434f-8ecc-0c9eb5252daa	Bifidobacterium bifidum	Bifidobacterium bifidum	ARO:3003318|Streptomyces	Streptomyces	77.37	380	345
b82fda24-97ae-432d-8047-5a211c0019b6	Bifidobacterium breve	Bifidobacterium breve	ARO:3003730|Bifidobacterium ileS	ileS	78.99	376	557
87e81595-f836-4939-8582-9e92d61e335e	Bifidobacterium breve	Bacteria	ARO:3000190|tetO	group tet-6	92.73	275	261
9840a6ee-c528-42a6-bcc0-5a2d68e1d1f3	Bifidobacterium breve	Bifidobacterium breve	ARO:3003730|Bifidobacterium ileS	ileS	83.58	201	234
75066983-8a0d-48fc-86ea-fd1698c03cc9	Bifidobacterium longum	Bacteria	ARO:3000190|tetO	group tet-6	91.16	294	145
