ReadId	HostTopHit	HostLCAHit	CARDHit	CARDGroup	PercentID	Length	Distance
b09ad949-5c67-46e4-be91-fea62d92c1e7	Klebsiella pneumoniae	Klebsiella pneumoniae	ARO:3003840|aminocoumarin	cysB	71.88	896	833
0d9bd8ef-c62d-49e1-abe1-04b39911220b	Klebsiella pneumoniae	Klebsiella pneumoniae	ARO:3000792|mdtA	mdtA	74.91	283	166
802edf94-5759-4d6c-bf65-2f5f033b62f6	Klebsiella pneumoniae	Klebsiella pneumoniae	ARO:3000826|sdiA	sdiA	73.5	200	872
75396966-d5da-44e1-8d6a-c756c54fc151	Klebsiella pneumoniae	Klebsiella pneumoniae	ARO:3000491|acrD	group mdt-mds-acr-mtr-1	70.98	2319	3210
6e214734-f0e0-443a-89c1-f286b7141839	Klebsiella pneumoniae	Klebsiella pneumoniae	ARO:3000491|acrD	group mdt-mds-acr-mtr-1	71.97	289	885
5fa1fd92-2bae-4a18-81d8-ae227e4c3567	Klebsiella pneumoniae	Klebsiella pneumoniae	ARO:3003578|PmrF	PmrF	73.94	495	2398
f608d940-f1d5-410b-a9a0-18eddf7a313a	Klebsiella pneumoniae	Klebsiella pneumoniae	ARO:3003844|mfd	mfd	74.02	585	914
64e21bbe-e255-45c2-88f6-49b7956b218c	Klebsiella pneumoniae	Enterobacteriaceae	ARO:3003359|Streptomyces	Streptomyces	70.11	1047	64
b7aaaf76-583d-4205-a442-2451cf282f3a	Proteus mirabilis	Proteus mirabilis	ARO:3000784|cmeB	cmeB	72.17	115	1501
b137b059-93cb-496f-919d-056c1fc64ac1	Klebsiella pneumoniae	Klebsiella pneumoniae	ARO:3000074|emrB	emrB	74.5	1549	524
1d3f9e98-7b81-4472-a5f8-bd2ed6a4da73	Klebsiella pneumoniae	Klebsiella	ARO:3000207|acrA	group acr-sme-1	72.99	1218	567
1d3f9e98-7b81-4472-a5f8-bd2ed6a4da73	Klebsiella pneumoniae	Klebsiella	ARO:3000216|acrB	group mex-acr-1	76.63	552	1670
059f5c56-7022-4b21-a56c-f10d4f98f277	Klebsiella pneumoniae	Klebsiella pneumoniae	ARO:3000378|mexB	group mex-sme-1	72.6	416	4794
059f5c56-7022-4b21-a56c-f10d4f98f277	Klebsiella pneumoniae	Klebsiella pneumoniae	ARO:3003056|smeE	group mex-sme-1	70.81	161	5423
059f5c56-7022-4b21-a56c-f10d4f98f277	Klebsiella pneumoniae	Klebsiella pneumoniae	ARO:3000491|acrD	group mdt-mds-acr-mtr-1	71.17	111	6595
059f5c56-7022-4b21-a56c-f10d4f98f277	Klebsiella pneumoniae	Klebsiella pneumoniae	ARO:3000207|acrA	group acr-sme-1	71.86	199	3548
fb243e57-1130-4877-a0f2-ba617cf3437d	Klebsiella pneumoniae	Klebsiella pneumoniae	ARO:3003830|aminocoumarin	alaS	76.09	230	2069
91c109a9-4197-4db2-b4de-1899ed8405b1	Klebsiella pneumoniae	Klebsiella pneumoniae	ARO:3003923|oqxB	group oqx-mex-amr-1	83.18	3229	8679
91c109a9-4197-4db2-b4de-1899ed8405b1	Klebsiella pneumoniae	Klebsiella pneumoniae	ARO:3003922|oqxA	group oqx-mex-1	84.34	1220	7486
d6da776a-a0ca-4554-b806-c1c5c1aa38c5	Klebsiella pneumoniae	Klebsiella pneumoniae	ARO:3000535|macB	macB	75.21	121	838
24bf29a4-3a66-4914-ab87-e7d06502a339	Klebsiella pneumoniae	Klebsiella pneumoniae	ARO:3001330|mdtD	mdtD	73.98	1049	1646
8b8a7a2f-002e-47fe-a1a3-612b423291bc	Klebsiella pneumoniae	Klebsiella pneumoniae	ARO:3003578|PmrF	PmrF	71.06	729	674
564fc854-24b2-42cf-8571-e0ac909000ac	Proteus mirabilis	Proteus mirabilis	ARO:3003840|aminocoumarin	cysB	73.17	205	3789
978cc6dd-08f2-475d-8513-0f27afd7787e	Klebsiella pneumoniae	Klebsiella pneumoniae	ARO:3000826|sdiA	sdiA	78.33	120	5754
db820b6f-820d-4a65-907b-6e63a0069a8d	Klebsiella pneumoniae	Klebsiella pneumoniae	ARO:3003843|leuO	leuO	76.13	222	1015
6ebfd7f5-04c3-4cc2-8f97-d9d878fdbf3b	Klebsiella pneumoniae	Klebsiella pneumoniae	ARO:3000237|tolC	tolC	75.0	184	760
0c8bc9e0-9c3a-489b-9271-3d5fb5ce8201	Klebsiella pneumoniae	Enterobacterales	ARO:3002474|LEN-26	group SHV-LEN-OKP-1	70.66	167	1356
0c8bc9e0-9c3a-489b-9271-3d5fb5ce8201	Klebsiella pneumoniae	Enterobacterales	ARO:3002474|LEN-26	group SHV-LEN-OKP-1	72.0	150	1857
0c8bc9e0-9c3a-489b-9271-3d5fb5ce8201	Klebsiella pneumoniae	Enterobacterales	ARO:3002431|OKP-A-14	group SHV-LEN-OKP-1	73.79	103	1607
2673c9a8-85f0-4c74-a9fa-493c8945d76c	Proteus mirabilis	Proteus mirabilis	ARO:3003578|PmrF	PmrF	75.33	150	1217
3dbb4270-a451-4088-8514-3113ad8b11fd	Klebsiella pneumoniae	Klebsiella pneumoniae	ARO:3002831|vgaC	vgaC	87.07	232	5695
8d721f58-9a9c-4233-9aa2-fae442b314b8	Klebsiella pneumoniae	Klebsiella pneumoniae	ARO:3002985|arnA	arnA	74.08	953	8720
8d721f58-9a9c-4233-9aa2-fae442b314b8	Klebsiella pneumoniae	Klebsiella pneumoniae	ARO:3003578|PmrF	PmrF	71.22	834	6946
19f3ca41-259c-4e71-9deb-2465edc9a6e6	Klebsiella pneumoniae	Klebsiella	ARO:3000518|CRP	CRP	78.84	567	62
8c2155d6-b962-47d0-ae03-40d8dfb85675	Klebsiella pneumoniae	Klebsiella pneumoniae	ARO:3000794|mdtC	group mdt-mex-sme-1	70.25	753	1728
8c2155d6-b962-47d0-ae03-40d8dfb85675	Klebsiella pneumoniae	Klebsiella pneumoniae	ARO:3000793|mdtB	group mdt-mds-acr-mtr-1	70.32	219	2248
f93abd23-2d87-4e9a-83e9-ef62c969d984	Klebsiella pneumoniae	Klebsiella pneumoniae	ARO:3003844|mfd	mfd	70.21	292	1719
