ReadId	HostHit	Overlap	Independent	CARDhit
b09ad949-5c67-46e4-be91-fea62d92c1e7	Klebsiella pneumoniae	833	Y	gb|NC_000913.3|+|1333854-1334829|ARO:3003840|aminocoumarin
c23907e7-aa95-44c0-be37-21fee83561a1	Klebsiella pneumoniae	27	N	gb|AP009048|+|2810082-2811255|ARO:3000027|emrA
0d9bd8ef-c62d-49e1-abe1-04b39911220b	Klebsiella pneumoniae	160	Y	gb|U00096|+|2154015-2155263|ARO:3000792|mdtA
b0340dc0-bfb4-42bb-a8e6-abb61f6eb34c	Klebsiella pneumoniae	72	Y	gb|AP009048|+|2165012-2166416|ARO:3000829|baeS
802edf94-5759-4d6c-bf65-2f5f033b62f6	Klebsiella pneumoniae	872	Y	gb|NC_003197|-|2039657-2040380|ARO:3000826|sdiA
75396966-d5da-44e1-8d6a-c756c54fc151	Klebsiella pneumoniae	2822	Y	gb|NC_007779|+|2586250-2589364|ARO:3000491|acrD
6e214734-f0e0-443a-89c1-f286b7141839	Klebsiella pneumoniae	640	Y	gb|DQ679966|+|1515-4662|ARO:3000216|acrB
5fa1fd92-2bae-4a18-81d8-ae227e4c3567	Klebsiella pneumoniae	2398	Y	gb|U00096|+|2367070-2368039|ARO:3003578|PmrF
dbcd5612-1ff5-4bfc-ae2b-82444857e173	Klebsiella pneumoniae	809	Y	gb|AF173226|-|351-1041|ARO:3003066|smeR
e0c8ea66-f45c-4016-877c-b792c8e9c990	Klebsiella pneumoniae	8898	Y	gb|NC_000913.3|+|2810769-2811300|ARO:3000516|emrR
0a8ea171-729f-4d0c-b188-efeb7f27705d	Klebsiella pneumoniae	3794	Y	gb|X63451|+|0-1653|ARO:3002828|srmB
718893d9-bbf8-4448-975a-4663c101b39a	Klebsiella pneumoniae	786	Y	gb|NC_002695|+|3211891-3212506|ARO:3000832|evgA
184f7e11-b8dd-4647-9031-e4f66d27b598	Klebsiella pneumoniae	1202	Y	gb|AE004091.2|-|4116187-4119265|ARO:3003693|mexK
f608d940-f1d5-410b-a9a0-18eddf7a313a	Klebsiella pneumoniae	914	Y	gb|NC_000913.3|-|1170517-1173964|ARO:3003844|mfd
64e21bbe-e255-45c2-88f6-49b7956b218c	Klebsiella pneumoniae	64	Y	gb|X98831.1|+|361-1555|ARO:3003359|Streptomyces
