ReadId	HostTopHit	HostLCAHit	CARDHit	CARDGroup	PercentID	Length	Distance
aba33881-4002-44f8-b3cc-bd192d6728df	Enterobacter cloacae	Enterobacter cloacae	ARO:3003052|smeB	group mdt-mex-sme-1	79.49	195	630
a6230d05-2515-4dba-b7a8-ca2c1c8641f2	Enterobacter cloacae	Enterobacter cloacae	ARO:3001830|ACT-7	group CMY-LAT-CFE-ACT-MIR-1	92.49	493	164
fb7df1c4-a4f3-48dd-9c46-8345b650e036	Enterobacter cloacae	Enterobacter cloacae	ARO:3000216|acrB	group mex-acr-1	72.33	647	1928
21ccabe7-78be-4380-980c-1711baa4262a	Enterobacter cloacae	Enterobacter cloacae	ARO:3001847|ACT-27	group CMY-LAT-CFE-ACT-MIR-1	84.07	1161	456
21ccabe7-78be-4380-980c-1711baa4262a	Enterobacter cloacae	Enterobacter cloacae	ARO:3001825|ACT-6	group CMY-LAT-CFE-ACT-MIR-1	75.79	1177	451
3432f5db-f305-4679-8067-788e3294e2d6	Staphylococcus epidermidis	Staphylococcus epidermidis	ARO:3000391|norA	norA	78.81	859	296
06711712-3445-4f0e-aa08-d5871266f0f2	Enterobacter cloacae	Enterobacter cloacae	ARO:3000263|marA	group mar-ram-1	80.55	329	330
5d6c65f0-4052-4757-b78c-d03a289bed10	Enterobacter cloacae	Enterobacter cloacae	ARO:3000518|CRP	CRP	80.22	627	81
0a67149e-13ce-46b2-809d-a740b1d5d99e	Enterobacter cloacae	Enterobacter cloacae	ARO:3000216|acrB	group mex-acr-1	78.65	178	1488
5f8a2dda-5524-41e4-8929-3b0168732732	Enterobacter cloacae	Enterobacter cloacae	ARO:3000024|patA	patA	79.05	420	166
a5bf09e1-fdc5-4eee-a295-4c4b29a9c244	Enterobacter cloacae	Enterobacter cloacae	ARO:3000676|H-NS	H-NS	76.46	395	1061
1ec70a91-992c-4cbd-831c-1a5290c0f4df	Enterobacter cloacae	Enterobacter cloacae	ARO:3000792|mdtA	mdtA	74.02	970	2550
