ReadId	HostHit	Overlap	Independent	CARDhit
aba33881-4002-44f8-b3cc-bd192d6728df	Enterobacter cloacae	630	Y	gb|AF173226|+|3767-6917|ARO:3003052|smeB
a6230d05-2515-4dba-b7a8-ca2c1c8641f2	Enterobacter cloacae	164	Y	gb|FJ237368|+|0-1146|ARO:3001830|ACT-7
fb7df1c4-a4f3-48dd-9c46-8345b650e036	Enterobacter cloacae	1928	Y	gb|DQ679966|+|1515-4662|ARO:3000216|acrB
7eec9347-b96e-4720-b737-11cf0114322f	Enterobacter cloacae	0	N	gb|DQ679966|+|1515-4662|ARO:3000216|acrB
21ccabe7-78be-4380-980c-1711baa4262a	Enterobacter cloacae	151	Y	gb|KJ207209|+|454-1600|ARO:3001847|ACT-27
3432f5db-f305-4679-8067-788e3294e2d6	Staphylococcus epidermidis	296	Y	gb|AY566250|+|391-1555|ARO:3000391|norA
6529bb19-76fa-4a74-9d4b-794a50008839	Staphylococcus aureus	0	N	gb|AY661734.1|+|839-2195|ARO:3000026|mepA
06711712-3445-4f0e-aa08-d5871266f0f2	Enterobacter cloacae	330	Y	gb|NC_007779|+|1621287-1621671|ARO:3000263|marA
5d6c65f0-4052-4757-b78c-d03a289bed10	Enterobacter cloacae	81	Y	gb|AP009048|-|4153663-4154296|ARO:3000518|CRP
bb3a9441-15b3-4b4c-8c59-664785bb9e66	Enterobacter cloacae	15	N	gb|NC_010378.1|+|47850-51003|ARO:3003923|oqxB
314f0399-aa7c-4a92-87cd-a677dd803c4d	Enterobacter cloacae	0	N	gb|DQ679966|+|1515-4662|ARO:3000216|acrB
0a67149e-13ce-46b2-809d-a740b1d5d99e	Enterobacter cloacae	1488	Y	gb|DQ679966|+|1515-4662|ARO:3000216|acrB
5f8a2dda-5524-41e4-8929-3b0168732732	Enterobacter cloacae	166	Y	gb|NC_000913.3|+|3219493-3220873|ARO:3000024|patA
b32e718f-8dc4-43a4-a62b-9d56c89ebb81	Enterobacter cloacae	0	N	gb|DQ679966|+|1515-4662|ARO:3000216|acrB
a5bf09e1-fdc5-4eee-a295-4c4b29a9c244	Enterobacter cloacae	1061	Y	gb|NC_002695|-|1737553-1737967|ARO:3000676|H-NS
d7968db9-937a-49e7-9e37-e244b4a57767	Bifidobacterium longum	24	N	gb|NC_014638|-|1610636-1613960|ARO:3003730|Bifidobacteria
7a52b746-26ba-4dde-95c9-e72bfff5c093	Enterobacter cloacae	3	N	gb|DQ679966|+|1515-4662|ARO:3000216|acrB
1ec70a91-992c-4cbd-831c-1a5290c0f4df	Enterobacter cloacae	2550	Y	gb|U00096|+|2154015-2155263|ARO:3000792|mdtA
0db6077b-5ddb-4df8-b779-7bca33e7e18e	Enterobacter cloacae	0	N	gb|NC_010378.1|+|47850-51003|ARO:3003923|oqxB
27109828-c59f-4e9e-a200-f211c404c85d	Enterobacter cloacae	0	N	gb|DQ679966|+|1515-4662|ARO:3000216|acrB
e9737391-a8da-4065-a05b-9b4d68ae6fae	Enterobacter cloacae	1267	Y	gb|KJ207209|+|454-1600|ARO:3001847|ACT-27
16d9f4b0-852f-4a84-8e66-ae40e44d2774	Enterobacter cloacae	452	Y	gb|NC_010378.1|+|46651-47827|ARO:3003922|oqxA
63f748f0-c4e7-4d84-bb23-f3a3a330e2e5	Enterobacter cloacae	432	Y	gb|NC_002695|-|4903561-4904935|ARO:3000830|cpxA
afe17213-963e-452f-883c-19b738daccf3	Enterobacter cloacae	1234	Y	gb|L11616|+|1569-4710|ARO:3000378|mexB
6e7165cb-53b8-4985-a940-0e372dccab9b	Enterobacter cloacae	187	Y	gb|JQ394987|+|0-1233|ARO:3001328|mdfA
118027d5-8195-4576-9e4a-33b3411021ac	Bifidobacterium longum	81	Y	gb|X98831.1|+|361-1555|ARO:3003359|Streptomyces
42cba4ee-3a0d-48bd-a159-19a54f838769	Enterobacter cloacae	2	N	gb|NC_000913.3|-|2819380-2822011|ARO:3003830|aminocoumarin
97c715ce-77be-42ec-8abd-818d0639f5ba	Enterobacter cloacae	279	Y	gb|KJ207209|+|454-1600|ARO:3001847|ACT-27
f83b40e5-62b4-4c1e-947c-c0c768fdf53e	Enterobacter cloacae	2	N	gb|DQ679966|+|1515-4662|ARO:3000216|acrB
f5749dfb-899e-485c-ac14-36d0b1604f78	Enterobacter cloacae	1262	Y	gb|DQ679966|+|1515-4662|ARO:3000216|acrB
125484c0-cca3-46c3-a9bf-f49a5c2bd294	Enterobacter cloacae	1	N	gb|NC_010378.1|+|47850-51003|ARO:3003923|oqxB
95697f6d-7013-4ed9-8046-9b6b132d660b	Enterobacter cloacae	555	Y	gb|U00096|+|2812615-2814154|ARO:3000074|emrB
1bfb46ef-14dd-4478-b9fd-943356018e6b	Enterobacter cloacae	0	N	gb|DQ679966|+|1515-4662|ARO:3000216|acrB
3d0aa357-9563-466e-9c20-e01f2e95a26c	Enterobacter cloacae	1106	Y	gb|DQ679966|+|1515-4662|ARO:3000216|acrB
e4b82061-965d-47ff-9351-397a27dd8429	Enterobacter cloacae	1775	Y	gb|NC_007779|+|2586250-2589364|ARO:3000491|acrD
93a37b0e-826b-4e0e-93d5-680ce866c248	Enterobacter cloacae	935	Y	gb|L11616|+|1569-4710|ARO:3000378|mexB
6c560a1b-252e-4952-b78f-4ce03321e9e2	Enterobacter cloacae	2397	Y	gb|NC_000913.3|+|3219493-3220873|ARO:3000024|patA
7ac77a00-ef2f-4ad1-b8ad-21e3a560f46b	Enterobacter cloacae	815	Y	gb|AP009048|-|4153663-4154296|ARO:3000518|CRP
d9310791-11d3-4299-8fb9-15ef22895919	Enterobacter cloacae	16	N	gb|U00096|+|2155262-2158385|ARO:3000793|mdtB
2d78108b-a656-4131-9971-f8c9bdbe8fcb	Enterobacter cloacae	177	Y	gb|KJ207209|+|454-1600|ARO:3001847|ACT-27
e7f46d19-4b9b-4d78-8ca1-ffffc95393d5	Enterobacter cloacae	228	Y	gb|DQ679966|+|1515-4662|ARO:3000216|acrB
0dd6d9cc-2377-4369-9a1c-053313a3ce2f	Enterobacter cloacae	370	Y	gb|NC_000913.3|+|3219493-3220873|ARO:3000024|patA
c106b56c-1d49-42b9-ab25-94b3ab1d341b	Enterobacter cloacae	67	Y	gb|NC_000913.3|-|2819380-2822011|ARO:3003830|aminocoumarin
eb69b167-10a2-4665-9876-0357aeca1a3c	Enterobacter cloacae	147	Y	gb|NC_007779|+|2586250-2589364|ARO:3000491|acrD
6ad37e68-4d8c-4101-a78c-ba8998c63262	Enterobacter cloacae	77	Y	gb|NC_010378.1|+|46651-47827|ARO:3003922|oqxA
5e153150-2529-4306-8158-ba7d5d0364ba	Enterobacter cloacae	52	Y	gb|DQ679966|+|1515-4662|ARO:3000216|acrB
72877490-fab6-4758-b03c-f776ef0b8bf2	Enterobacter cloacae	206	Y	gb|DQ679966|+|299-1493|ARO:3000207|acrA
39107981-8d53-4fc5-863a-c38601c942f2	Enterobacter cloacae	955	Y	gb|NC_010378.1|+|46651-47827|ARO:3003922|oqxA
84de5e6c-1fdc-4043-956d-79bf2be5d8b9	Enterobacter cloacae	12	N	gb|JQ727667|+|0-870|ARO:3000825|robA
22c37b53-65ac-4f9c-9e4d-8f6ca23cc5d2	Enterobacter cloacae	10	N	gb|NC_007779|+|2586250-2589364|ARO:3000491|acrD
