Rank	Count	ID	Name	Description			Group			
1	72	gb	DQ679966	+	1515-4662	ARO:3000216	Multidrug efflux pump	acrB	acrB	Protein subunit of AcrA-AcrB-TolC multidrug efflux complex. AcrB functions as a herterotrimer which forms the inner membrane component and is primarily responsible for substrate recognition and energy transduction by acting as a drug/proton antiporter.
2	72	gb	X98831.1	+	361-1555	ARO:3003359	elfamycin resistance	Streptomyces	Streptomyces cinnamoneus EF-Tu mutants conferring resistance to elfamycin	Sequence variants of Streptomyces cinnamoneus elongation factor Tu that confer resistance to elfamycin antibiotics.
3	66	gb	NC_010378.1	+	47850-51003	ARO:3003923	Multidrug efflux pump	oqxB	oqxB	RND efflux pump conferring resistance to fluoroquinolone
4	66	gb	NC_000913.3	+	3219493-3220873	ARO:3000024	Fluoroquinolone resistance	patA	patA	PatA is an ABC transporter of Streptococcus pneumoniae that interacts with PatB to confer fluoroquinolone resistance.
5	63	gb	NC_000913.3	-	1170517-1173964	ARO:3003844	Fluoroquinolone resistance	mfd	mfd	"mfd dissociates transcription elongation complexes blocked at nonpairing lesions and mediates recruitment of DNA repair proteins. The Mfd (mutation frequency decline) protein, also known as transcription-repair coupling factor, is responsible for ATP-dependent removal of stalled RNA polymerase from DNA lesions by inducing forward movement of the RNA polymerase and subsequent recruitment of nucleotide excision repair machinery to the sites of the lesions."
6	61	gb	NC_000913.3	-	2819380-2822011	ARO:3003830	Aminocoumarin resistance	aminocoumarin	aminocoumarin resistant alaS	alanyl-tRNA synthetase conferring resistance to novobiocin in Escherichia coli
7	57	gb	NC_007779	+	2586250-2589364	ARO:3000491	Aminoglycoside resistance	acrD	acrD	"AcrD is an aminoglycoside efflux pump expressed in E. coli. Its expression can be induced by indole, and is regulated by baeRS and cpxAR."
8	55	gb	AY768532	+	0-1935	ARO:3000535	Multidrug efflux pump	macB	macB	MacB is an ATP-binding cassette (ABC) transporter that exports macrolides with 14- or 15- membered lactones. It forms an antibiotic efflux complex with MacA and TolC.
9	51	gb	U00096	+	3415032-3418137	ARO:3000502	Multidrug efflux pump	acrF	acrF	"AcrF is a inner membrane transporter, similar to AcrB."
10	45	gb	U00096	+	2155262-2158385	ARO:3000793	Aminocoumarin resistance	mdtB	mdtB	MdtB is a transporter that forms a heteromultimer complex with MdtC to form a multidrug transporter. MdtBC is part of the MdtABC-TolC efflux complex.
11	45	gb	U00096	+	2812615-2814154	ARO:3000074	Fluoroquinolone resistance	emrB	emrB	"emrB is a translocase in the emrB -TolC efflux protein in E. coli. It recognizes substrates including carbonyl cyanide m-chlorophenylhydrazone (CCCP), nalidixic acid, and thioloactomycin."
12	45	gb	KU302801	+	102199-102430	ARO:3002831	Multidrug efflux pump	vgaC	vgaC	vgaC is an efflux protein expressed in staphylococci that confers resistance to streptogramin A antibiotics and related compounds. It is associated with plasmid DNA.
13	38	gb	GG749185.1	+	116812-118003	ARO:3000309	Multidrug efflux pump	emrD	emrD	EmrD is a multidrug transporter from the Major Facilitator Superfamily (MFS) primarily found in Escherichia coli. EmrD couples efflux of amphipathic compounds with proton import across the plasma membrane.
