ReadId	HostTopHit	HostLCAHit	CARDHit	CARDGroup	PercentID	Length	Distance
c8dab135-c8e3-4f01-bec4-d5840654eec8	Clostridium cellulovorans	Bacteria	ARO:3000190|tetO	group tet-6	87.44	621	400
fac33922-c22a-4fb4-b994-f496ba7e236f	Mobiluncus curtisii	Bacteria	ARO:3000190|tetO	group tet-6	87.05	1019	1950
fac33922-c22a-4fb4-b994-f496ba7e236f	Mobiluncus curtisii	Bacteria	ARO:3000190|tetO	group tet-6	91.82	110	2906
cc2df820-4351-40bc-af05-75cb59fad0f9	Staphylococcus aureus	Staphylococcus	ARO:3003046|qacA	group qac-2	84.8	1592	290
dc8ba43d-6b62-42ff-b098-0a60d64b4189	Bifidobacterium breve	Bifidobacterium	ARO:3003359|Streptomyces	Streptomyces	73.19	705	362
64503cfb-87c5-4287-b224-adacb2b2a738	Bifidobacterium breve	Bifidobacterium breve	ARO:3003730|Bifidobacterium ileS	ileS	74.25	1899	115
beddd6bc-548e-4cf1-abe9-c29f8ba47a9a	Campylobacter jejuni	Bacteria	ARO:3000190|tetO	group tet-6	82.02	873	141
ffa4d1d3-b609-4a6a-ae96-ebb4122d4748	Bifidobacterium breve	Bifidobacterium breve	ARO:3000190|tetO	group tet-6	89.72	1926	6723
29f5b97c-460b-48ad-8eac-b3726aa73b27	Bifidobacterium breve	Bifidobacterium breve	ARO:3003730|Bifidobacterium ileS	ileS	77.6	799	1500
4174e595-9e1c-4f4f-9563-1869b65dba02	Staphylococcus aureus	Staphylococcus aureus	ARO:3000250|ErmC	group Erm-7	94.38	463	387
d64f1574-192c-4d92-b6fa-43a26783b7f6	Staphylococcus epidermidis	Staphylococcus epidermidis	ARO:3002865|dfrC	group dfr-14	84.81	428	177
f3a09032-c428-4e39-9159-2d5e966255b5	Bifidobacterium breve	Bifidobacterium breve	ARO:3000190|tetO	group tet-6	84.84	910	11515
cf474806-f971-4e29-8a15-cd085bd6cd96	Bifidobacterium breve	Bifidobacterium breve	ARO:3003318|Streptomyces	Streptomyces	75.38	195	2605
2df5fb2c-a75e-41d8-b892-1033b7bf47f4	Staphylococcus aureus	Staphylococcus	ARO:3000617|mecA	group mec-2	88.21	1849	867
c315221a-42ad-4bcd-844e-7fa2f8001c05	Bifidobacterium breve	Bifidobacterium breve	ARO:3003730|Bifidobacterium ileS	ileS	76.08	1685	851
f862cc59-fd12-4428-82af-0eda98dced3a	Streptococcus suis	Bacteria	ARO:3000190|tetO	group tet-6	84.22	1020	871
